Id,Source,Target,Type,Label,Weight
0,305,0,Directed,mother,1
1,248,0,Directed,father,1
2,31,0,Directed,heir,1
3,306,1,Directed,spouse,1
4,1,306,Directed,spouse,1
5,6,2,Directed,spouse,1
6,2,6,Directed,spouse,1
7,211,3,Directed,spouse,1
8,3,211,Directed,spouse,1
9,208,4,Directed,mother,1
10,307,4,Directed,father,1
11,308,4,Directed,heir,1
12,309,5,Directed,spouse,1
13,5,309,Directed,spouse,1
14,310,6,Directed,mother,1
15,311,6,Directed,father,1
16,305,6,Directed,heir,1
17,300,7,Directed,spouse,1
18,7,300,Directed,spouse,1
19,208,8,Directed,mother,1
20,307,8,Directed,father,1
21,4,8,Directed,heir,1
22,305,9,Directed,spouse,1
23,9,305,Directed,spouse,1
24,99,10,Directed,spouse,1
25,10,99,Directed,spouse,1
26,279,11,Directed,mother,1
27,29,11,Directed,father,1
28,312,11,Directed,heir,1
29,271,12,Directed,spouse,1
30,12,271,Directed,spouse,1
31,31,13,Directed,spouse,1
32,13,31,Directed,spouse,1
33,313,14,Directed,spouse,1
34,14,313,Directed,spouse,1
35,38,15,Directed,spouse,1
36,15,38,Directed,spouse,1
37,314,16,Directed,spouse,1
38,16,314,Directed,spouse,1
39,29,17,Directed,spouse,1
40,17,29,Directed,spouse,1
41,246,18,Directed,spouse,1
42,18,246,Directed,spouse,1
43,95,19,Directed,spouse,1
44,19,95,Directed,spouse,1
45,45,20,Directed,mother,1
46,251,20,Directed,father,1
47,315,20,Directed,heir,1
48,316,21,Directed,spouse,1
49,21,316,Directed,spouse,1
50,162,22,Directed,spouse,1
51,22,162,Directed,spouse,1
52,261,23,Directed,spouse,1
53,23,261,Directed,spouse,1
54,68,24,Directed,spouse,1
55,24,68,Directed,spouse,1
56,317,25,Directed,spouse,1
57,25,317,Directed,spouse,1
58,207,26,Directed,mother,1
59,275,26,Directed,father,1
60,318,26,Directed,heir,1
61,319,27,Directed,father,1
62,270,28,Directed,spouse,1
63,28,270,Directed,spouse,1
64,195,29,Directed,mother,1
65,204,29,Directed,father,1
66,320,29,Directed,heir,1
67,37,30,Directed,mother,1
68,6,30,Directed,father,1
69,312,30,Directed,heir,1
70,51,31,Directed,heir,1
71,305,32,Directed,mother,1
72,248,32,Directed,father,1
73,48,32,Directed,heir,1
74,321,33,Directed,spouse,1
75,33,321,Directed,spouse,1
76,17,34,Directed,mother,1
77,29,34,Directed,father,1
78,322,34,Directed,heir,1
79,323,35,Directed,mother,1
80,51,35,Directed,father,1
81,15,35,Directed,heir,1
82,324,36,Directed,mother,1
83,70,36,Directed,father,1
84,297,36,Directed,heir,1
85,6,37,Directed,spouse,1
86,37,6,Directed,spouse,1
87,60,38,Directed,spouse,1
88,38,60,Directed,spouse,1
89,294,39,Directed,spouse,1
90,39,294,Directed,spouse,1
91,92,40,Directed,spouse,1
92,40,92,Directed,spouse,1
93,325,41,Directed,heir,1
94,326,42,Directed,spouse,1
95,42,326,Directed,spouse,1
96,327,43,Directed,father,1
97,145,44,Directed,spouse,1
98,44,145,Directed,spouse,1
99,251,45,Directed,spouse,1
100,45,251,Directed,spouse,1
101,328,46,Directed,spouse,1
102,46,328,Directed,spouse,1
103,154,47,Directed,spouse,1
104,47,154,Directed,spouse,1
105,329,48,Directed,mother,1
106,32,48,Directed,father,1
107,244,48,Directed,heir,1
108,244,49,Directed,spouse,1
109,49,244,Directed,spouse,1
110,309,50,Directed,spouse,1
111,50,309,Directed,spouse,1
112,13,51,Directed,mother,1
113,31,51,Directed,father,1
114,330,51,Directed,heir,1
115,331,52,Directed,spouse,1
116,52,331,Directed,spouse,1
117,332,53,Directed,spouse,1
118,53,332,Directed,spouse,1
119,113,54,Directed,spouse,1
120,54,113,Directed,spouse,1
121,66,55,Directed,spouse,1
122,55,66,Directed,spouse,1
123,333,56,Directed,heir,1
124,334,57,Directed,spouse,1
125,57,334,Directed,spouse,1
126,335,58,Directed,spouse,1
127,58,335,Directed,spouse,1
128,165,59,Directed,spouse,1
129,59,165,Directed,spouse,1
130,241,61,Directed,spouse,1
131,61,241,Directed,spouse,1
132,336,62,Directed,mother,1
133,14,62,Directed,father,1
134,334,63,Directed,spouse,1
135,63,334,Directed,spouse,1
136,337,64,Directed,spouse,1
137,64,337,Directed,spouse,1
138,286,65,Directed,spouse,1
139,65,286,Directed,spouse,1
140,338,66,Directed,spouse,1
141,66,338,Directed,spouse,1
142,339,67,Directed,father,1
143,340,67,Directed,heir,1
144,32,69,Directed,spouse,1
145,69,32,Directed,spouse,1
146,341,70,Directed,mother,1
147,237,70,Directed,father,1
148,36,70,Directed,heir,1
149,342,71,Directed,mother,1
150,34,71,Directed,father,1
151,343,71,Directed,heir,1
152,124,72,Directed,spouse,1
153,72,124,Directed,spouse,1
154,344,73,Directed,spouse,1
155,73,344,Directed,spouse,1
156,20,74,Directed,spouse,1
157,74,20,Directed,spouse,1
158,274,75,Directed,spouse,1
159,75,274,Directed,spouse,1
160,78,76,Directed,spouse,1
161,76,78,Directed,spouse,1
162,345,77,Directed,spouse,1
163,77,345,Directed,spouse,1
164,188,79,Directed,spouse,1
165,79,188,Directed,spouse,1
166,118,80,Directed,spouse,1
167,80,118,Directed,spouse,1
168,164,81,Directed,spouse,1
169,81,164,Directed,spouse,1
170,334,82,Directed,spouse,1
171,82,334,Directed,spouse,1
172,242,83,Directed,spouse,1
173,83,242,Directed,spouse,1
174,138,84,Directed,spouse,1
175,84,138,Directed,spouse,1
176,35,85,Directed,spouse,1
177,85,35,Directed,spouse,1
178,217,86,Directed,spouse,1
179,86,217,Directed,spouse,1
180,1,87,Directed,spouse,1
181,87,1,Directed,spouse,1
182,1,88,Directed,spouse,1
183,88,1,Directed,spouse,1
184,346,89,Directed,spouse,1
185,89,346,Directed,spouse,1
186,137,90,Directed,spouse,1
187,90,137,Directed,spouse,1
188,1,91,Directed,spouse,1
189,91,1,Directed,spouse,1
190,347,93,Directed,spouse,1
191,93,347,Directed,spouse,1
192,174,94,Directed,spouse,1
193,94,174,Directed,spouse,1
194,256,96,Directed,spouse,1
195,96,256,Directed,spouse,1
196,147,97,Directed,spouse,1
197,97,147,Directed,spouse,1
198,135,98,Directed,spouse,1
199,98,135,Directed,spouse,1
200,348,100,Directed,spouse,1
201,100,348,Directed,spouse,1
